


# 1 blah, blah blah
# 2 blah, blah blah

    
src_slot,dst_slot,bits_total
# two connected rings
# ring 1
0,1,65536
1,2,65536
2,3,65536
3,4,65536
4,5,65536
5,6,65536
6,7,65536
7,8,65536
8,9,65536
9,10,65536
10,11,65536
11,12,65536
12,13,65536
13,14,65536
14,0,65536
www, eee, rrr
# ring 2
100,101,65536
101,102,65536
102,103,65536
103,104,65536
104,105,65536
105,106,65536
106,107,65536
107,108,65536
108,109,65536
109,110,65536
110,111,65536
111,112,65536
112,113,65536
113,114,65536
114,100,65536

# the rings connection
7,107,32768
